,What is your graduation year?,Where are you planning to live next year?,What college are you in?,What gender do you identify as?,What is your family income?,Will you have a car on campus next year?,"How would you rate, from 1-5, the ease of transportation on Cornell's Ithaca campus? (1- very difficult, 5- very easy)",Have you ever taken the TCAT?,"With which of the methods have you used the TCAT in the past? (check all that apply) - Cornell ID (free for first-year students, weekends + evening for all students)",With which of the methods have you used the TCAT in the past? (check all that apply) - Prepaid TCAT card,With which of the methods have you used the TCAT in the past? (check all that apply) - OmniRide Pass,With which of the methods have you used the TCAT in the past? (check all that apply) - Cash,With which of the methods have you used the TCAT in the past? (check all that apply) - None,"How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Walking","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Bus","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Car","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Rideshare","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Bike, Scooter, Skateboard",What is the maximum you would pay for a single bus fare?,What is the maximum you would pay for an OmniRide pass (unlimited rides for a semester)?
0,Upperclassmen,Off-Campus,College of Engineering,Male,>150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,Never,1-3 times per week,A few times per month,A few times per month,More,Less than $50
1,Underclassmen,Off-Campus,School of Industrial Labor Relations (ILR),Female,>150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,A few times per month,Every Day,Never,Never,More,$0
2,Underclassmen,Off-Campus,School of Industrial Labor Relations (ILR),Female,<150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,Never,4-6 times per week,Never,Never,No more,$50
3,Underclassmen,On-Campus,College of Agriculture and Life Sciences (CALS),Female,>150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,A few times per month,Never,Never,No more,$60
4,Underclassmen,On-Campus,College of Engineering,Female,>150k,Yes,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,1-3 times per week,1-3 times per week,1-3 times per week,Never,No more,$100
5,Upperclassmen,Off-Campus,School of Industrial Labor Relations (ILR),Female,NaN,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,4-6 times per week,A few times per month,Never,More,Less than $50
6,Upperclassmen,Off-Campus,College of Human Ecology (CHE),Female,>150k,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,A few times per month,A few times per month,Never,Never,No more,Less than $50
7,Underclassmen,Off-Campus,School of Industrial Labor Relations (ILR),Female,<150k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,4-6 times per week,A few times per month,Never,Never,No more,$100
8,Upperclassmen,Off-Campus,College of Agriculture and Life Sciences (CALS),Female,NaN,Yes,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",Prepaid TCAT card,,Cash,,1-3 times per week,A few times per month,Every Day,Never,Never,No more,$80
9,Upperclassmen,Off-Campus,College of Arts and Sciences (CAS),Female,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,No more,$50
10,Upperclassmen,Off-Campus,College of Engineering,Female,>150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",Prepaid TCAT card,,Cash,,Every Day,A few times per month,1-3 times per week,Never,Never,No more,$100
11,Underclassmen,On-Campus,College of Engineering,Female,<150k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,1-3 times per week,Never,Never,Never,More,$100
12,Upperclassmen,Off-Campus,College of Engineering,Female,>150k,Yes,5,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,Never,1-3 times per week,A few times per month,Never,No more,$0
13,Upperclassmen,Off-Campus,College of Arts and Sciences (CAS),Female,<150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,4-6 times per week,Never,Never,No more,$80
14,Underclassmen,Off-Campus,College of Agriculture and Life Sciences (CALS),Female,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,1-3 times per week,Never,A few times per month,Never,No more,Less than $50
15,Underclassmen,Off-Campus,College of Human Ecology (CHE),Female,>150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,No more,$50
16,Upperclassmen,Off-Campus,SC Johnson College of Business - Hotel,Male,<150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,4-6 times per week,A few times per month,1-3 times per week,A few times per month,Never,No more,$50
17,Upperclassmen,Off-Campus,School of Industrial Labor Relations (ILR),Female,>150k,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,4-6 times per week,Never,A few times per month,Never,Never,No more,$100
18,Underclassmen,Off-Campus,College of Arts and Sciences (CAS),Female,>150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",Prepaid TCAT card,,No Cash,,Every Day,Every Day,,,,More,$60
19,Upperclassmen,Off-Campus,College of Agriculture and Life Sciences (CALS),Male,<150k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,Never,A few times per month,A few times per month,Never,More,Less than $50
20,Upperclassmen,Off-Campus,College of Arts and Sciences (CAS),Male,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,1-3 times per week,A few times per month,Never,No more,$50
21,Upperclassmen,Off-Campus,College of Arts and Sciences (CAS),Female,>150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,4-6 times per week,Never,Never,Never,No more,Less than $50
22,Underclassmen,Off-Campus,SC Johnson College of Business - Dyson,Female,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,No Cash,,Every Day,A few times per month,Never,A few times per month,Never,More,Less than $50
23,Upperclassmen,Off-Campus,SC Johnson College of Business - Dyson,Female,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,Never,Never,Never,No more,$70
24,Underclassmen,Off-Campus,SC Johnson College of Business - Dyson,Female,NaN,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,Never,Never,Never,No more,Less than $50
25,Upperclassmen,Off-Campus,College of Engineering,Female,<150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,Never,Never,Never,No more,Less than $50
